iter	Passed	Remaining
889	1146	141
890	1148	140
891	1150	139
892	1151	137
893	1152	136
894	1153	135
895	1154	133
896	1155	132
897	1155	131
898	1156	129
899	1157	128
900	1158	127
901	1159	125
902	1159	124
903	1160	123
904	1161	121
905	1162	120
906	1163	119
907	1165	118
908	1165	116
909	1166	115
910	1167	114
911	1168	112
912	1169	111
913	1170	110
914	1170	108
915	1171	107
916	1172	106
917	1173	104
918	1173	103
919	1174	102
920	1175	100
921	1177	99
922	1178	98
923	1179	96
924	1180	95
925	1181	94
926	1182	93
927	1182	91
928	1183	90
929	1184	89
930	1185	87
931	1186	86
932	1187	85
933	1188	83
934	1188	82
935	1189	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1195	74
941	1196	73
942	1197	72
943	1198	71
944	1198	69
945	1199	68
946	1200	67
947	1201	65
948	1202	64
949	1203	63
950	1203	62
951	1204	60
952	1205	59
953	1206	58
954	1208	56
955	1209	55
956	1210	54
957	1211	53
958	1212	51
959	1212	50
960	1213	49
961	1214	47
962	1215	46
963	1216	45
964	1216	44
965	1217	42
966	1218	41
967	1219	40
968	1220	39
969	1221	37
970	1222	36
971	1224	35
972	1224	33
973	1225	32
974	1226	31
975	1227	30
976	1228	28
977	1229	27
978	1230	26
979	1231	25
980	1231	23
981	1234	22
982	1235	21
983	1236	20
984	1237	18
985	1240	17
986	1241	16
987	1242	15
988	1243	13
989	1244	12
990	1244	11
991	1246	10
992	1246	8
993	1247	7
994	1248	6
995	1249	5
996	1250	3
997	1251	2
998	1252	1
999	1253	0
